timestamp,red,ir
5014219,80583,112999
5024219,80579,113001
5034219,80588,113033
5044219,80587,113026
5054219,80589,113045
5064219,80589,113044
5074219,80601,113057
5084219,80604,113065
5094219,80590,113087
5104219,80598,113081
5114219,80601,113090
5124219,80607,113095
5134219,80597,113111
5144219,80605,113112
5155219,80589,113114
5165219,80599,113129
5175219,80604,113114
5185219,80595,113129
5195219,80603,113139
5205219,80603,113144
5215219,80603,113159
5225219,80616,113171
5235219,80607,113174
5245219,80609,113166
5255219,80615,113179
5265219,80621,113187
5275219,80622,113192
5285219,80627,113210
5295219,80617,113213
5305219,80619,113239
5315219,80627,113234
5325219,80626,113240
5335219,80633,113246
5346219,80618,113239
5356219,80627,113258
5366219,80625,113258
5376219,80619,113256
5386219,80618,113267
5396219,80621,113264
5406219,80624,113264
5416219,80618,113269
5426219,80623,113271
5436219,80629,113282
5446219,80642,113287
5456219,80635,113278
5466219,80628,113293
5476219,80635,113299
5486219,80636,113300
5496219,80628,113288
5506219,80623,113291
5516219,80625,113287
5526219,80615,113288
5536219,80616,113284
5547219,80623,113275
5557219,80623,113269
5567219,80623,113290
5577219,80616,113297
5587219,80619,113300
5597219,80627,113300
5607219,80623,113309
5617219,80614,113306
5627219,80628,113310
5637219,80627,113296
5647219,80614,113263
5657219,80606,113233
5667219,80597,113181
5677219,80577,113147
5687219,80571,113101
5697219,80565,113078
5707219,80569,113083
5717219,80554,113077
5727219,80555,113095
5738219,80554,113113
5748219,80560,113135
5758219,80575,113166
5768219,80568,113199
5778219,80577,113212
5788219,80590,113235
5798219,80585,113258
5808219,80587,113275
5818219,80610,113294
5828219,80613,113298
5838219,80614,113323
5848219,80621,113333
5858219,80612,113341
5868219,80626,113355
5878219,80622,113366
5888219,80621,113377
5898219,80628,113395
5908219,80614,113383
5918219,80616,113390
5929219,80623,113389
5939219,80618,113393
5949219,80623,113412
5959219,80612,113418
5969219,80612,113417
5979219,80626,113422
5989219,80613,113433
5999219,80616,113435
6009219,80624,113437
6019219,80628,113451
6029219,80633,113449
6039219,80627,113444
6049219,80625,113447
6059219,80630,113455
6069219,80626,113454
6079219,80631,113461
6089219,80627,113457
6099219,80616,113453
6109219,80630,113464
6120219,80620,113458
6130219,80619,113476
6140219,80618,113468
6150219,80613,113485
6160219,80631,113484
6170219,80617,113494
6180219,80627,113493
6190219,80618,113517
6200219,80619,113510
6210219,80630,113510
6220219,80632,113513
6230219,80639,113515
6240219,80631,113524
6250219,80625,113540
6260219,80631,113529
6270219,80633,113535
6280219,80630,113526
6290219,80620,113537
6300219,80628,113537
6311219,80621,113546
6321219,80627,113544
6331219,80620,113552
6341219,80614,113546
6351219,80624,113548
6361219,80617,113558
6371219,80630,113569
6381219,80626,113592
6391219,80623,113585
6401219,80638,113593
6411219,80643,113602
6421219,80638,113592
6431219,80637,113600
6441219,80636,113594
6451219,80632,113591
6461219,80637,113592
6471219,80627,113590
6481219,80620,113588
6491219,80624,113595
6502219,80619,113588
6512219,80623,113603
6522219,80618,113594
6532219,80617,113600
6542219,80625,113602
6552219,80629,113592
6562219,80624,113597
6572219,80618,113599
6582219,80617,113598
6592219,80620,113594
6602219,80618,113582
6612219,80629,113551
6622219,80615,113526
6632219,80605,113467
6642219,80582,113411
6652219,80568,113367
6662219,80557,113343
6672219,80554,113337
6682219,80549,113338
6693219,80545,113343
6703219,80560,113372
6713219,80553,113374
6723219,80553,113406
6733219,80569,113420
6743219,80576,113436
6753219,80576,113441
6763219,80579,113460
6773219,80585,113473
6783219,80586,113501
6793219,80591,113504
6803219,80599,113515
6813219,80596,113535
6823219,80600,113559
6833219,80592,113541
6843219,80598,113556
6853219,80606,113558
6863219,80592,113556
6873219,80605,113556
6884219,80599,113563
6894219,80605,113562
6904219,80606,113578
6914219,80600,113579
6924219,80612,113586
6934219,80599,113589
6944219,80604,113588
6954219,80607,113600
6964219,80606,113609
6974219,80615,113609
6984219,80614,113604
6994219,80617,113605
7004219,80614,113605
7014219,80611,113609
7024219,80609,113597
7034219,80608,113588
7044219,80617,113608
7054219,80603,113598
7064219,80595,113600
7075219,80604,113604
7085219,80600,113594
7095219,80607,113611
7105219,80602,113615
7115219,80597,113604
7125219,80607,113597
7135219,80597,113602
7145219,80604,113595
7155219,80598,113596
7165219,80610,113582
7175219,80602,113583
7185219,80614,113577
7195219,80601,113565
7205219,80605,113583
7215219,80601,113556
7225219,80594,113555
7235219,80607,113566
7245219,80593,113550
7255219,80592,113553
7266219,80597,113552
7276219,80586,113553
7286219,80591,113546
7296219,80579,113565
7306219,80582,113553
7316219,80591,113563
7326219,80588,113574
7336219,80586,113575
7346219,80587,113591
7356219,80588,113591
7366219,80606,113581
7376219,80601,113589
7386219,80601,113580
7396219,80589,113578
7406219,80590,113574
7416219,80585,113527
7426219,80569,113458
7436219,80551,113371
7447219,80526,113283
7457219,80499,113200
7467219,80480,113142
7477219,80461,113088
7487219,80445,113038
7497219,80446,113035
7507219,80445,113036
7517219,80454,113052
7527219,80445,113090
7537219,80465,113143
7547219,80479,113185
7557219,80491,113229
7567219,80499,113267
7577219,80509,113292
7587219,80515,113308
7597219,80519,113325
7607219,80518,113324
7617219,80517,113331
7627219,80520,113345
7638219,80512,113359
7648219,80530,113379
7658219,80526,113398
7668219,80517,113419
7678219,80540,113429
7688219,80538,113436
7698219,80541,113457
7708219,80545,113474
7718219,80539,113472
7728219,80548,113470
7738219,80543,113480
7748219,80552,113484
7758219,80561,113506
7768219,80550,113513
7778219,80552,113507
7788219,80557,113509
7798219,80548,113505
7808219,80547,113503
7818219,80546,113509
7829219,80547,113518
7839219,80546,113536
7849219,80550,113556
7859219,80544,113562
7869219,80548,113552
7879219,80552,113573
7889219,80552,113586
7899219,80559,113599
7909219,80549,113610
7919219,80571,113604
7929219,80562,113620
7939219,80564,113635
7949219,80573,113629
7959219,80572,113630
7969219,80576,113620
7979219,80570,113639
7989219,80563,113632
7999219,80569,113631
8010219,80561,113638
8020219,80568,113646
8030219,80563,113645
8040219,80556,113648
8050219,80568,113660
8060219,80554,113664
8070219,80562,113661
8080219,80568,113677
8090219,80564,113688
8100219,80569,113683
8110219,80570,113683
8120219,80577,113685
8130219,80579,113693
8140219,80564,113710
8150219,80570,113701
8160219,80575,113707
8170219,80583,113710
8180219,80569,113700
8190219,80561,113707
8201219,80572,113708
8211219,80565,113710
8221219,80571,113715
8231219,80557,113714
8241219,80556,113718
8251219,80565,113727
8261219,80570,113727
8271219,80563,113737
8281219,80556,113753
8291219,80571,113756
8301219,80585,113754
8311219,80577,113746
8321219,80572,113751
8331219,80565,113750
8341219,80578,113741
8351219,80573,113701
8361219,80554,113629
8371219,80528,113539
8381219,80501,113434
8392219,80470,113317
8402219,80442,113202
8412219,80406,113114
8422219,80399,113063
8432219,80390,113055
8442219,80397,113075
8452219,80400,113118
8462219,80414,113164
8472219,80428,113219
8482219,80453,113260
8492219,80455,113312
8502219,80469,113338
8512219,80479,113368
8522219,80483,113398
8532219,80483,113420
8542219,80495,113442
8552219,80495,113456
8562219,80491,113489
8572219,80501,113482
8583219,80498,113505
8593219,80495,113512
8603219,80504,113544
8613219,80505,113557
8623219,80507,113567
8633219,80523,113581
8643219,80514,113604
8653219,80523,113614
8663219,80534,113622
8673219,80534,113622
8683219,80529,113630
8693219,80526,113629
8703219,80536,113637
8713219,80541,113660
8723219,80538,113658
8733219,80533,113658
8743219,80531,113672
8753219,80546,113672
8764219,80537,113663
8774219,80542,113687
8784219,80535,113687
8794219,80533,113698
8804219,80545,113725
8814219,80545,113720
8824219,80553,113723
8834219,80551,113738
8844219,80552,113732
8854219,80550,113741
8864219,80552,113744
8874219,80567,113755
8884219,80562,113751
