timestamp,red,ir
5013961,83631,111280
5023961,83650,111323
5033961,83656,111358
5043961,83663,111359
5053961,83659,111361
5063961,83667,111348
5073961,83665,111319
5083961,83652,111283
5093961,83633,111277
5103961,83647,111251
5114961,83624,111236
5124961,83636,111261
5134961,83627,111269
5144961,83635,111281
5154961,83631,111311
5164961,83646,111338
5174961,83657,111373
5184961,83671,111416
5194961,83672,111467
5204961,83699,111514
5214961,83710,111548
5224961,83725,111603
5234961,83730,111635
5244961,83745,111683
5254961,83743,111739
5264961,83762,111767
5274961,83775,111813
5284961,83796,111855
5294961,83794,111896
5305961,83793,111943
5315961,83817,111978
5325961,83818,112010
5335961,83819,112060
5345961,83845,112090
5355961,83852,112116
5365961,83865,112142
5375961,83867,112194
5385961,83866,112207
5395961,83880,112137
5405961,83846,111968
5415961,83795,111680
5425961,83714,111371
5435961,83625,111053
5445961,83550,110769
5455961,83486,110533
5465961,83437,110382
5475961,83396,110273
5485961,83369,110235
5496961,83361,110216
5506961,83350,110239
5516961,83364,110287
5526961,83382,110365
5536961,83403,110424
5546961,83431,110484
5556961,83434,110567
5566961,83463,110635
5576961,83475,110690
5586961,83501,110749
5596961,83514,110797
5606961,83522,110853
5616961,83538,110910
5626961,83562,110956
5636961,83573,110989
5646961,83584,111034
5656961,83582,111040
5666961,83579,111050
5677961,83573,111026
5687961,83574,110994
5697961,83562,110977
5707961,83556,110961
5717961,83557,110927
5727961,83552,110912
5737961,83547,110922
5747961,83562,110928
5757961,83559,110960
5767961,83566,111001
5777961,83581,111031
5787961,83601,111066
5797961,83614,111111
5807961,83606,111162
5817961,83631,111198
5827961,83654,111237
5837961,83662,111307
5847961,83661,111349
5857961,83671,111404
5868961,83702,111463
5878961,83707,111522
5888961,83721,111586
5898961,83746,111643
5908961,83745,111687
5918961,83758,111730
5928961,83781,111770
5938961,83797,111852
5948961,83803,111877
5958961,83814,111914
5968961,83828,111944
5978961,83836,111984
5988961,83848,112025
5998961,83854,112038
6008961,83860,112061
6018961,83877,112110
6028961,83874,112132
6038961,83880,112170
6049961,83892,112183
6059961,83888,112116
6069961,83848,111920
6079961,83787,111662
6089961,83731,111378
6099961,83650,111089
6109961,83572,110835
6119961,83524,110640
6129961,83473,110505
6139961,83463,110431
6149961,83447,110405
6159961,83447,110420
6169961,83459,110460
6179961,83467,110522
6189961,83486,110594
6199961,83507,110682
6209961,83518,110754
6219961,83553,110818
6230961,83564,110903
6240961,83580,110960
6250961,83598,111021
6260961,83612,111104
6270961,83620,111163
6280961,83654,111233
6290961,83670,111284
6300961,83685,111338
6310961,83683,111381
6320961,83707,111396
6330961,83718,111403
6340961,83720,111379
6350961,83716,111357
6360961,83696,111324
6370961,83687,111293
6380961,83694,111282
6390961,83692,111270
6400961,83684,111287
6410961,83683,111285
6421961,83684,111302
6431961,83691,111346
6441961,83697,111370
6451961,83708,111411
6461961,83723,111469
6471961,83742,111503
6481961,83752,111568
6491961,83771,111621
6501961,83777,111682
6511961,83801,111733
6521961,83817,111781
6531961,83825,111830
6541961,83846,111880
6551961,83856,111938
6561961,83866,111975
6571961,83876,112012
6581961,83882,112053
6591961,83898,112101
6602961,83903,112138
6612961,83909,112193
6622961,83930,112213
6632961,83931,112262
6642961,83926,112301
6652961,83953,112335
6662961,83965,112368
6672961,83964,112412
6682961,83978,112437
6692961,83978,112360
6702961,83948,112156
6712961,83890,111886
6722961,83815,111593
6732961,83739,111322
6742961,83667,111090
6752961,83625,110905
6762961,83578,110794
6772961,83559,110737
6782961,83542,110710
6793961,83546,110747
6803961,83562,110783
6813961,83567,110854
6823961,83580,110951
6833961,83615,111023
6843961,83637,111093
6853961,83658,111171
6863961,83675,111271
6873961,83696,111336
6883961,83723,111405
6893961,83741,111483
6903961,83767,111575
6913961,83790,111646
6923961,83805,111702
6933961,83804,111738
6943961,83827,111762
6953961,83828,111761
6963961,83815,111727
6973961,83808,111702
6984961,83800,111645
6994961,83781,111595
7004961,83770,111564
7014961,83754,111538
7024961,83756,111523
7034961,83757,111522
7044961,83769,111545
7054961,83768,111578
7064961,83776,111599
7074961,83788,111641
7084961,83803,111679
7094961,83806,111731
7104961,83835,111803
7114961,83843,111855
7124961,83857,111910
7134961,83877,111967
