Index,Amplitude,Amplitude
0,1850,1850
1,1819,1819
2,1854,1854
3,1835,1835
4,1841,1841
5,1855,1855
6,1847,1847
7,1840,1840
8,1860,1860
9,1850,1850
10,1839,1839
11,1840,1840
12,1854,1854
13,1835,1835
14,1839,1839
15,1849,1849
16,1909,1909
17,1937,1937
18,1968,1968
19,1997,1997
20,1984,1984
21,1968,1968
22,1942,1942
23,1966,1966
24,1933,1933
25,1925,1925
26,1917,1917
27,1897,1897
28,1873,1873
29,1890,1890
30,1867,1867
31,1868,1868
32,1869,1869
33,1877,1877
34,1859,1859
35,1839,1839
36,1867,1867
37,1851,1851
38,1840,1840
39,1840,1840
40,1815,1815
41,1813,1813
42,1826,1826
43,1835,1835
44,1839,1839
45,1830,1830
46,1809,1809
47,1819,1819
48,1838,1838
49,1814,1814
50,1824,1824
51,1847,1847
52,1815,1815
53,1859,1859
54,1884,1884
55,1942,1942
56,1963,1963
57,1959,1959
58,1941,1941
59,1941,1941
60,1934,1934
61,1909,1909
62,1894,1894
63,1899,1899
64,1885,1885
65,1872,1872
66,1854,1854
67,1857,1857
68,1870,1870
69,1837,1837
70,1867,1867
71,1873,1873
72,1850,1850
73,1856,1856
74,1846,1846
75,1861,1861
76,1837,1837
77,1856,1856
78,1839,1839
79,1823,1823
80,1849,1849
81,1825,1825
82,1826,1826
83,1831,1831
84,1835,1835
85,1834,1834
86,1826,1826
87,1830,1830
88,1859,1859
89,1889,1889
90,1901,1901
91,1936,1936
92,1959,1959
93,1984,1984
94,1985,1985
95,1983,1983
96,1968,1968
97,1951,1951
98,1955,1955
99,1937,1937
100,1933,1933
101,1894,1894
102,1908,1908
103,1869,1869
104,1877,1877
105,1863,1863
106,1847,1847
107,1854,1854
108,1871,1871
109,1863,1863
110,1854,1854
111,1830,1830
112,1842,1842
113,1840,1840
114,1830,1830
115,1843,1843
116,1824,1824
117,1822,1822
118,1813,1813
119,1797,1797
120,1795,1795
121,1809,1809
122,1821,1821
123,1808,1808
124,1818,1818
125,1808,1808
126,1841,1841
127,1869,1869
128,1918,1918
129,1936,1936
130,1965,1965
131,1973,1973
132,1968,1968
133,1955,1955
134,1947,1947
135,1917,1917
136,1907,1907
137,1892,1892
138,1873,1873
139,1883,1883
140,1854,1854
141,1840,1840
142,1854,1854
143,1840,1840
144,1826,1826
145,1836,1836
146,1849,1849
147,1838,1838
148,1821,1821
149,1805,1805
150,1809,1809
151,1824,1824
152,1799,1799
153,1808,1808
154,1780,1780
155,1797,1797
156,1806,1806
157,1805,1805
158,1787,1787
159,1806,1806
160,1809,1809
161,1783,1783
162,1819,1819
163,1813,1813
164,1819,1819
165,1830,1830
166,1810,1810
167,1828,1828
168,1877,1877
169,1916,1916
170,1961,1961
171,1971,1971
172,1984,1984
173,1968,1968
174,1943,1943
175,1923,1923
176,1898,1898
177,1891,1891
178,1877,1877
179,1869,1869
180,1876,1876
181,1861,1861
182,1829,1829
183,1835,1835
184,1830,1830
185,1836,1836
186,1827,1827
187,1834,1834
188,1824,1824
189,1822,1822
190,1831,1831
191,1824,1824
192,1822,1822
193,1808,1808
194,1821,1821
195,1829,1829
196,1829,1829
197,1805,1805
198,1818,1818
199,1824,1824
200,1841,1841
201,1825,1825
202,1824,1824
203,1862,1862
204,1872,1872
205,1867,1867
206,1877,1877
207,1855,1855
208,1885,1885
209,1938,1938
210,1952,1952
211,1986,1986
212,2000,2000
213,2002,2002
214,1971,1971
215,1947,1947
216,1909,1909
217,1921,1921
218,1926,1926
219,1903,1903
220,1919,1919
221,1892,1892
222,1885,1885
223,1874,1874
224,1855,1855
225,1878,1878
226,1870,1870
227,1858,1858
228,1872,1872
229,1855,1855
230,1847,1847
231,1840,1840
232,1834,1834
233,1863,1863
234,1829,1829
235,1831,1831
236,1840,1840
237,1869,1869
238,1837,1837
239,1845,1845
240,1834,1834
241,1837,1837
242,1842,1842
243,1843,1843
244,1851,1851
245,1847,1847
246,1856,1856
247,1861,1861
248,1930,1930
249,1981,1981
250,2012,2012
251,2000,2000
252,1996,1996
253,1988,1988
254,1968,1968
255,1919,1919
256,1937,1937
257,1924,1924
258,1917,1917
259,1893,1893
260,1918,1918
261,1875,1875
262,1899,1899
263,1898,1898
264,1881,1881
265,1864,1864
266,1883,1883
267,1878,1878
268,1849,1849
269,1882,1882
270,1858,1858
271,1845,1845
272,1865,1865
273,1863,1863
274,1862,1862
275,1857,1857
276,1874,1874
277,1853,1853
278,1859,1859
279,1855,1855
280,1857,1857
281,1875,1875
282,1879,1879
283,1887,1887
284,1934,1934
285,1969,1969
286,1981,1981
287,2011,2011
288,2002,2002
289,2000,2000
290,2000,2000
291,1983,1983
292,1946,1946
293,1938,1938
294,1938,1938
295,1927,1927
296,1900,1900
297,1906,1906
298,1885,1885
299,1879,1879
300,1872,1872
301,1875,1875
302,1862,1862
303,1857,1857
304,1857,1857
305,1875,1875
306,1850,1850
307,1839,1839
308,1853,1853
309,1840,1840
310,1841,1841
311,1856,1856
312,1854,1854
313,1851,1851
314,1846,1846
315,1840,1840
316,1870,1870
317,1837,1837
318,1856,1856
